"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that selecting submenus in the navigation menu displays the correct page content.","1405","Test nested menu functionality for ('partial link text', 'Laptops & Notebooks') -> ('xpath', '//*[@id=""menu""]/div[2]/ul/li[2]/div/div/ul/li[2]/a')","","Sun Sep 22 18:46:32 AMT 2024","passed","Sun Sep 22 18:46:33 AMT 2024","","Menu Interaction Tests","",""
"This test verifies that clicking a footer button navigates to the correct section and displays the expected header text.","919","Verify footer section navigation and content","","Sun Sep 22 18:46:43 AMT 2024","passed","Sun Sep 22 18:46:44 AMT 2024","","Footer Navigation Tests","",""
"Verifies that each menu item on the homepage navigates to the correct page and displays the correct heading.","6118","Test Menu Item Navigation","","Sun Sep 22 18:46:21 AMT 2024","passed","Sun Sep 22 18:46:27 AMT 2024","","UI Tests","",""
"This test verifies that selecting submenus in the navigation menu displays the correct page content.","1569","Test nested menu functionality for ('partial link text', 'Desktops') -> ('xpath', '//*[@id=""menu""]/div[2]/ul/li[1]/div/div/ul/li[2]/a')","","Sun Sep 22 18:46:29 AMT 2024","passed","Sun Sep 22 18:46:30 AMT 2024","","Menu Interaction Tests","",""
"This test searches for a product (MacBook) and verifies that the correct results are displayed.","1473","Search for a product and verify the results","","Sun Sep 22 18:46:33 AMT 2024","passed","Sun Sep 22 18:46:35 AMT 2024","","Product Search Tests","",""
"This test adds a product (MacBook) to the wishlist and verifies that the product is successfully added and listed in the wishlist.","2282","Add a product to the wishlist and verify its presence","","Sun Sep 22 18:46:40 AMT 2024","passed","Sun Sep 22 18:46:42 AMT 2024","","Product Wishlist Tests","",""
"This test verifies that clicking a footer button navigates to the correct section and displays the expected header text.","1143","Verify footer section navigation and content","","Sun Sep 22 18:46:52 AMT 2024","passed","Sun Sep 22 18:46:54 AMT 2024","","Footer Navigation Tests","",""
"This test verifies that selecting submenus in the navigation menu displays the correct page content.","1660","Test nested menu functionality for ('partial link text', 'Laptops & Notebooks') -> ('xpath', '//*[@id=""menu""]/div[2]/ul/li[2]/div/div/ul/li[1]/a')","","Sun Sep 22 18:46:30 AMT 2024","passed","Sun Sep 22 18:46:32 AMT 2024","","Menu Interaction Tests","",""
"This test verifies that clicking a footer button navigates to the correct section and displays the expected header text.","5816","Verify footer section navigation and content","","Sun Sep 22 18:46:47 AMT 2024","passed","Sun Sep 22 18:46:52 AMT 2024","","Footer Navigation Tests","",""
"This test verifies that clicking a footer button navigates to the correct section and displays the expected header text.","835","Verify footer section navigation and content","","Sun Sep 22 18:46:42 AMT 2024","passed","Sun Sep 22 18:46:43 AMT 2024","","Footer Navigation Tests","",""
"This test verifies that selecting submenus in the navigation menu displays the correct page content.","1369","Test nested menu functionality for ('partial link text', 'Desktops') -> ('xpath', '//*[@id=""menu""]/div[2]/ul/li[1]/div/div/ul/li[1]/a')","","Sun Sep 22 18:46:27 AMT 2024","passed","Sun Sep 22 18:46:29 AMT 2024","","Menu Interaction Tests","",""
"This test checks that the slider is functional, moves between slides, and can revert back to the original slide.","2108","Verify the homepage slider functionality","","Sun Sep 22 18:46:36 AMT 2024","passed","Sun Sep 22 18:46:38 AMT 2024","","Slider Functionality Tests","",""
"This test verifies that clicking a footer button navigates to the correct section and displays the expected header text.","2833","Verify footer section navigation and content","","Sun Sep 22 18:46:44 AMT 2024","passed","Sun Sep 22 18:46:47 AMT 2024","","Footer Navigation Tests","",""
"This test adds a product to the cart and verifies that the cart contains the correct item and reflects the correct quantity.","1439","Add a product to the cart and verify cart contents","","Sun Sep 22 18:46:35 AMT 2024","passed","Sun Sep 22 18:46:36 AMT 2024","","Cart Management Tests","",""
